.threshold,specificity,sensitivity,outcome,taxlevel,metric,dataset,trainfrac,method,seed
0.296,0.3533834586466166,0.8461538461538461,idsa,OTU,AUC,int,0.8,rf,100
0.302,0.3609022556390977,0.8307692307692308,idsa,OTU,AUC,int,0.8,rf,100
0.304,0.368421052631579,0.7846153846153846,idsa,OTU,AUC,int,0.8,rf,100
0.306,0.3834586466165414,0.7692307692307693,idsa,OTU,AUC,int,0.8,rf,100
0.308,0.39097744360902253,0.7692307692307693,idsa,OTU,AUC,int,0.8,rf,100
0.31,0.40601503759398494,0.7692307692307693,idsa,OTU,AUC,int,0.8,rf,100
0.312,0.4285714285714286,0.7538461538461538,idsa,OTU,AUC,int,0.8,rf,100
0.314,0.45112781954887216,0.7538461538461538,idsa,OTU,AUC,int,0.8,rf,100
0.316,0.46616541353383456,0.7538461538461538,idsa,OTU,AUC,int,0.8,rf,100
0.318,0.4887218045112782,0.7230769230769231,idsa,OTU,AUC,int,0.8,rf,100
0.32,0.5037593984962406,0.7230769230769231,idsa,OTU,AUC,int,0.8,rf,100
0.322,0.5037593984962406,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,100
0.324,0.5263157894736843,0.6615384615384615,idsa,OTU,AUC,int,0.8,rf,100
0.326,0.5413533834586466,0.6461538461538462,idsa,OTU,AUC,int,0.8,rf,100
0.328,0.5563909774436091,0.6153846153846154,idsa,OTU,AUC,int,0.8,rf,100
0.33,0.5789473684210527,0.6153846153846154,idsa,OTU,AUC,int,0.8,rf,100
0.332,0.5789473684210527,0.6,idsa,OTU,AUC,int,0.8,rf,100
0.334,0.6015037593984962,0.6,idsa,OTU,AUC,int,0.8,rf,100
0.336,0.6090225563909775,0.5846153846153846,idsa,OTU,AUC,int,0.8,rf,100
0.338,0.6240601503759399,0.5692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.34,0.631578947368421,0.5692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.342,0.6390977443609023,0.5692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.344,0.6390977443609023,0.5384615384615384,idsa,OTU,AUC,int,0.8,rf,100
0.346,0.6390977443609023,0.5230769230769231,idsa,OTU,AUC,int,0.8,rf,100
0.352,0.6541353383458647,0.49230769230769234,idsa,OTU,AUC,int,0.8,rf,100
0.356,0.6766917293233083,0.49230769230769234,idsa,OTU,AUC,int,0.8,rf,100
0.358,0.6992481203007519,0.47692307692307695,idsa,OTU,AUC,int,0.8,rf,100
0.36,0.6992481203007519,0.4615384615384616,idsa,OTU,AUC,int,0.8,rf,100
0.362,0.7067669172932332,0.4615384615384616,idsa,OTU,AUC,int,0.8,rf,100
0.364,0.7293233082706767,0.4615384615384616,idsa,OTU,AUC,int,0.8,rf,100
0.368,0.7593984962406015,0.4615384615384616,idsa,OTU,AUC,int,0.8,rf,100
0.37,0.7744360902255639,0.4461538461538462,idsa,OTU,AUC,int,0.8,rf,100
0.372,0.7744360902255639,0.4307692307692308,idsa,OTU,AUC,int,0.8,rf,100
0.374,0.7819548872180451,0.4307692307692308,idsa,OTU,AUC,int,0.8,rf,100
0.378,0.7819548872180451,0.38461538461538464,idsa,OTU,AUC,int,0.8,rf,100
0.382,0.7894736842105263,0.3692307692307693,idsa,OTU,AUC,int,0.8,rf,100
0.384,0.7969924812030076,0.3384615384615385,idsa,OTU,AUC,int,0.8,rf,100
0.386,0.8120300751879699,0.3384615384615385,idsa,OTU,AUC,int,0.8,rf,100
0.39,0.8120300751879699,0.3076923076923077,idsa,OTU,AUC,int,0.8,rf,100
0.392,0.8345864661654135,0.3076923076923077,idsa,OTU,AUC,int,0.8,rf,100
0.394,0.8421052631578947,0.2923076923076923,idsa,OTU,AUC,int,0.8,rf,100
0.396,0.849624060150376,0.2923076923076923,idsa,OTU,AUC,int,0.8,rf,100
0.398,0.849624060150376,0.27692307692307694,idsa,OTU,AUC,int,0.8,rf,100
0.4,0.849624060150376,0.26153846153846155,idsa,OTU,AUC,int,0.8,rf,100
0.402,0.849624060150376,0.2153846153846154,idsa,OTU,AUC,int,0.8,rf,100
0.404,0.8646616541353384,0.2,idsa,OTU,AUC,int,0.8,rf,100
0.406,0.8796992481203008,0.2,idsa,OTU,AUC,int,0.8,rf,100
0.408,0.887218045112782,0.2,idsa,OTU,AUC,int,0.8,rf,100
0.41,0.8947368421052632,0.2,idsa,OTU,AUC,int,0.8,rf,100
0.412,0.9097744360902256,0.18461538461538465,idsa,OTU,AUC,int,0.8,rf,100
0.414,0.9097744360902256,0.16923076923076924,idsa,OTU,AUC,int,0.8,rf,100
0.42,0.9097744360902256,0.15384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.428,0.9172932330827068,0.13846153846153847,idsa,OTU,AUC,int,0.8,rf,100
0.43,0.924812030075188,0.12307692307692308,idsa,OTU,AUC,int,0.8,rf,100
0.432,0.9323308270676692,0.12307692307692308,idsa,OTU,AUC,int,0.8,rf,100
0.434,0.9398496240601504,0.12307692307692308,idsa,OTU,AUC,int,0.8,rf,100
0.438,0.9398496240601504,0.1076923076923077,idsa,OTU,AUC,int,0.8,rf,100
0.44,0.9398496240601504,0.09230769230769233,idsa,OTU,AUC,int,0.8,rf,100
0.442,0.9398496240601504,0.07692307692307693,idsa,OTU,AUC,int,0.8,rf,100
0.446,0.9473684210526316,0.07692307692307693,idsa,OTU,AUC,int,0.8,rf,100
0.45,0.9473684210526316,0.06153846153846154,idsa,OTU,AUC,int,0.8,rf,100
0.452,0.9548872180451128,0.04615384615384615,idsa,OTU,AUC,int,0.8,rf,100
0.458,0.962406015037594,0.04615384615384615,idsa,OTU,AUC,int,0.8,rf,100
0.474,0.962406015037594,0.03076923076923077,idsa,OTU,AUC,int,0.8,rf,100
0.48,0.9699248120300752,0.03076923076923077,idsa,OTU,AUC,int,0.8,rf,100
0.494,0.9849624060150376,0.03076923076923077,idsa,OTU,AUC,int,0.8,rf,100
0.5,0.9849624060150376,0.01538461538461538,idsa,OTU,AUC,int,0.8,rf,100
0.52,0.9924812030075189,0.01538461538461538,idsa,OTU,AUC,int,0.8,rf,100
0.542,0.9924812030075189,0,idsa,OTU,AUC,int,0.8,rf,100
Inf,1,0,idsa,OTU,AUC,int,0.8,rf,100
-Inf,0,1,idsa,OTU,AUC,int,0.8,rf,101
0.118,0,1,idsa,OTU,AUC,int,0.8,rf,101
0.162,0.00751879699248125,1,idsa,OTU,AUC,int,0.8,rf,101
0.178,0.0150375939849624,1,idsa,OTU,AUC,int,0.8,rf,101
0.18,0.02255639097744366,1,idsa,OTU,AUC,int,0.8,rf,101
0.192,0.03759398496240607,1,idsa,OTU,AUC,int,0.8,rf,101
0.194,0.04511278195488721,0.9846153846153848,idsa,OTU,AUC,int,0.8,rf,101
0.198,0.04511278195488721,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,101
0.2,0.06015037593984962,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,101
0.202,0.06766917293233088,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,101
0.204,0.08270676691729328,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,101
0.206,0.09022556390977444,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,101
0.21,0.09022556390977444,0.953846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.218,0.09774436090225568,0.953846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.22,0.10526315789473684,0.953846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.222,0.10526315789473684,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,101
0.224,0.12030075187969924,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,101
0.23,0.1278195488721805,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,101
0.238,0.1278195488721805,0.9076923076923076,idsa,OTU,AUC,int,0.8,rf,101
0.242,0.1278195488721805,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.244,0.13533834586466165,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.246,0.1428571428571429,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.252,0.1578947368421053,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.254,0.16541353383458646,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.256,0.17293233082706772,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.258,0.1804511278195489,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.26,0.19548872180451127,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.262,0.19548872180451127,0.8769230769230769,idsa,OTU,AUC,int,0.8,rf,101
0.264,0.19548872180451127,0.8615384615384616,idsa,OTU,AUC,int,0.8,rf,101
0.266,0.19548872180451127,0.8461538461538461,idsa,OTU,AUC,int,0.8,rf,101
0.268,0.19548872180451127,0.8307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.27,0.23308270676691736,0.8307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.272,0.24060150375939848,0.8307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.274,0.24812030075187977,0.8153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.276,0.2706766917293233,0.8153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.278,0.27819548872180455,0.8,idsa,OTU,AUC,int,0.8,rf,101
0.282,0.29323308270676696,0.8,idsa,OTU,AUC,int,0.8,rf,101
0.284,0.3157894736842105,0.8,idsa,OTU,AUC,int,0.8,rf,101
0.288,0.3308270676691729,0.7692307692307693,idsa,OTU,AUC,int,0.8,rf,101
0.29,0.33834586466165417,0.7538461538461538,idsa,OTU,AUC,int,0.8,rf,101
0.294,0.3458646616541353,0.7384615384615385,idsa,OTU,AUC,int,0.8,rf,101
0.296,0.368421052631579,0.7384615384615385,idsa,OTU,AUC,int,0.8,rf,101
0.298,0.368421052631579,0.7230769230769231,idsa,OTU,AUC,int,0.8,rf,101
0.3,0.3759398496240602,0.7076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.302,0.39097744360902253,0.7076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.304,0.39097744360902253,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,101
0.306,0.40601503759398494,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,101
0.308,0.4135338345864662,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,101
0.31,0.42105263157894735,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,101
0.314,0.43609022556390975,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,101
0.316,0.443609022556391,0.6923076923076923,idsa,OTU,AUC,int,0.8,rf,101
0.318,0.45112781954887216,0.676923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.32,0.46616541353383456,0.676923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.322,0.4736842105263158,0.676923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.324,0.49624060150375937,0.676923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.326,0.5037593984962406,0.6615384615384615,idsa,OTU,AUC,int,0.8,rf,101
0.328,0.5037593984962406,0.6461538461538462,idsa,OTU,AUC,int,0.8,rf,101
0.33,0.5037593984962406,0.6307692307692307,idsa,OTU,AUC,int,0.8,rf,101
0.332,0.5112781954887218,0.6153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.334,0.5263157894736843,0.6153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.336,0.5413533834586466,0.6153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.34,0.5488721804511278,0.6153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.342,0.5488721804511278,0.6,idsa,OTU,AUC,int,0.8,rf,101
0.344,0.5639097744360902,0.5692307692307692,idsa,OTU,AUC,int,0.8,rf,101
0.346,0.5789473684210527,0.5538461538461539,idsa,OTU,AUC,int,0.8,rf,101
0.348,0.5939849624060151,0.5538461538461539,idsa,OTU,AUC,int,0.8,rf,101
0.35,0.6165413533834587,0.5538461538461539,idsa,OTU,AUC,int,0.8,rf,101
0.352,0.631578947368421,0.5538461538461539,idsa,OTU,AUC,int,0.8,rf,101
0.354,0.6390977443609023,0.5538461538461539,idsa,OTU,AUC,int,0.8,rf,101
0.356,0.6466165413533835,0.5230769230769231,idsa,OTU,AUC,int,0.8,rf,101
0.358,0.6691729323308271,0.5076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.36,0.6766917293233083,0.5076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.362,0.6842105263157895,0.5076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.364,0.6992481203007519,0.5076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.366,0.7067669172932332,0.49230769230769234,idsa,OTU,AUC,int,0.8,rf,101
0.374,0.7142857142857143,0.4615384615384616,idsa,OTU,AUC,int,0.8,rf,101
0.376,0.736842105263158,0.4461538461538462,idsa,OTU,AUC,int,0.8,rf,101
0.378,0.7593984962406015,0.4461538461538462,idsa,OTU,AUC,int,0.8,rf,101
0.38,0.7669172932330828,0.4461538461538462,idsa,OTU,AUC,int,0.8,rf,101
0.382,0.7969924812030076,0.4461538461538462,idsa,OTU,AUC,int,0.8,rf,101
0.384,0.8195488721804511,0.4461538461538462,idsa,OTU,AUC,int,0.8,rf,101
0.386,0.8421052631578947,0.4307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.388,0.8421052631578947,0.4,idsa,OTU,AUC,int,0.8,rf,101
0.39,0.849624060150376,0.38461538461538464,idsa,OTU,AUC,int,0.8,rf,101
0.392,0.8646616541353384,0.35384615384615387,idsa,OTU,AUC,int,0.8,rf,101
0.394,0.8646616541353384,0.3384615384615385,idsa,OTU,AUC,int,0.8,rf,101
0.4,0.8721804511278195,0.3384615384615385,idsa,OTU,AUC,int,0.8,rf,101
0.402,0.8796992481203008,0.3230769230769231,idsa,OTU,AUC,int,0.8,rf,101
0.404,0.8796992481203008,0.27692307692307694,idsa,OTU,AUC,int,0.8,rf,101
0.406,0.8796992481203008,0.2307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.41,0.887218045112782,0.2307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.414,0.9022556390977444,0.2153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.422,0.9097744360902256,0.2153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.424,0.9097744360902256,0.2,idsa,OTU,AUC,int,0.8,rf,101
0.428,0.924812030075188,0.2,idsa,OTU,AUC,int,0.8,rf,101
0.43,0.924812030075188,0.18461538461538465,idsa,OTU,AUC,int,0.8,rf,101
0.432,0.9323308270676692,0.16923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.434,0.9398496240601504,0.16923076923076924,idsa,OTU,AUC,int,0.8,rf,101
0.436,0.9398496240601504,0.15384615384615383,idsa,OTU,AUC,int,0.8,rf,101
0.438,0.9398496240601504,0.13846153846153847,idsa,OTU,AUC,int,0.8,rf,101
0.44,0.962406015037594,0.13846153846153847,idsa,OTU,AUC,int,0.8,rf,101
0.448,0.962406015037594,0.12307692307692308,idsa,OTU,AUC,int,0.8,rf,101
0.458,0.962406015037594,0.1076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.48,0.9699248120300752,0.1076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.482,0.9774436090225564,0.09230769230769233,idsa,OTU,AUC,int,0.8,rf,101
0.488,0.9774436090225564,0.07692307692307693,idsa,OTU,AUC,int,0.8,rf,101
0.494,0.9774436090225564,0.06153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.498,0.9849624060150376,0.06153846153846154,idsa,OTU,AUC,int,0.8,rf,101
0.504,0.9849624060150376,0.04615384615384615,idsa,OTU,AUC,int,0.8,rf,101
0.516,0.9924812030075189,0.03076923076923077,idsa,OTU,AUC,int,0.8,rf,101
0.524,0.9924812030075189,0.01538461538461538,idsa,OTU,AUC,int,0.8,rf,101
0.536,0.9924812030075189,0,idsa,OTU,AUC,int,0.8,rf,101
Inf,1,0,idsa,OTU,AUC,int,0.8,rf,101
-Inf,0,1,attrib,OTU,AUC,int,0.8,rf,100
0,0,1,attrib,OTU,AUC,int,0.8,rf,100
0.002,0.0310880829015544,1,attrib,OTU,AUC,int,0.8,rf,100
0.004,0.06217616580310881,1,attrib,OTU,AUC,int,0.8,rf,100
0.006,0.1347150259067358,1,attrib,OTU,AUC,int,0.8,rf,100
0.008,0.20207253886010368,1,attrib,OTU,AUC,int,0.8,rf,100
0.01,0.24870466321243523,1,attrib,OTU,AUC,int,0.8,rf,100
0.012,0.31088082901554404,0.8,attrib,OTU,AUC,int,0.8,rf,100
0.014,0.3471502590673575,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.016,0.39896373056994816,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.018,0.4248704663212435,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.02,0.4455958549222798,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.022,0.4559585492227979,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.024,0.49740932642487046,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.026,0.5181347150259068,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.028,0.5544041450777202,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.03,0.6113989637305699,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.032,0.6528497409326425,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.034,0.6839378238341969,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.036,0.694300518134715,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.038,0.7150259067357513,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.04,0.7357512953367875,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.042,0.7512953367875648,0.6,attrib,OTU,AUC,int,0.8,rf,100
0.046,0.772020725388601,0.4,attrib,OTU,AUC,int,0.8,rf,100
0.048,0.7927461139896373,0.4,attrib,OTU,AUC,int,0.8,rf,100
0.05,0.8082901554404145,0.4,attrib,OTU,AUC,int,0.8,rf,100
0.052,0.8134715025906736,0.4,attrib,OTU,AUC,int,0.8,rf,100
0.054,0.8134715025906736,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.058,0.8186528497409327,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.06,0.8290155440414508,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.062,0.8341968911917098,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.064,0.8497409326424871,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.07,0.8601036269430051,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.074,0.8704663212435233,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.076,0.8756476683937824,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.08,0.8808290155440415,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.084,0.8963730569948186,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.086,0.9015544041450776,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.092,0.9067357512953368,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.098,0.911917098445596,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.1,0.917098445595855,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.104,0.927461139896373,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.106,0.932642487046632,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.11,0.9378238341968912,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.112,0.9430051813471504,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.124,0.9481865284974094,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.13,0.9533678756476685,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.132,0.9637305699481864,0.2,attrib,OTU,AUC,int,0.8,rf,100
0.146,0.9740932642487048,0,attrib,OTU,AUC,int,0.8,rf,100
0.172,0.9792746113989638,0,attrib,OTU,AUC,int,0.8,rf,100
0.176,0.9844559585492229,0,attrib,OTU,AUC,int,0.8,rf,100
0.186,0.9896373056994818,0,attrib,OTU,AUC,int,0.8,rf,100
0.196,0.9948186528497408,0,attrib,OTU,AUC,int,0.8,rf,100
Inf,1,0,attrib,OTU,AUC,int,0.8,rf,100
-Inf,0,1,attrib,OTU,AUC,int,0.8,rf,101
0,0,1,attrib,OTU,AUC,int,0.8,rf,101
0.002,0.0932642487046632,0.8,attrib,OTU,AUC,int,0.8,rf,101
0.004,0.15544041450777202,0.8,attrib,OTU,AUC,int,0.8,rf,101
0.006,0.24870466321243523,0.6,attrib,OTU,AUC,int,0.8,rf,101
0.008,0.2953367875647669,0.6,attrib,OTU,AUC,int,0.8,rf,101
0.01,0.3626943005181346,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.012,0.4041450777202073,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.014,0.44041450777202074,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.016,0.4766839378238342,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.018,0.49740932642487046,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.02,0.533678756476684,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.022,0.5699481865284974,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.024,0.5906735751295337,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.026,0.6269430051813472,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.028,0.6373056994818653,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.03,0.6580310880829016,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.032,0.6632124352331606,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.034,0.6735751295336787,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.036,0.689119170984456,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.038,0.6994818652849741,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.04,0.7253886010362695,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.042,0.7357512953367875,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.044,0.7461139896373057,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.046,0.7564766839378239,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.048,0.7616580310880829,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.05,0.772020725388601,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.052,0.7772020725388601,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.054,0.7823834196891192,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.056,0.7979274611398963,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.058,0.8186528497409327,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.06,0.8238341968911918,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.062,0.8290155440414508,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.064,0.8341968911917098,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.066,0.8393782383419689,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.068,0.8497409326424871,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.07,0.8549222797927462,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.072,0.8652849740932642,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.076,0.8756476683937824,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.078,0.8860103626943006,0.4,attrib,OTU,AUC,int,0.8,rf,101
0.08,0.8860103626943006,0.2,attrib,OTU,AUC,int,0.8,rf,101
0.088,0.8911917098445596,0.2,attrib,OTU,AUC,int,0.8,rf,101
0.094,0.9015544041450776,0,attrib,OTU,AUC,int,0.8,rf,101
0.102,0.9067357512953368,0,attrib,OTU,AUC,int,0.8,rf,101
0.11,0.922279792746114,0,attrib,OTU,AUC,int,0.8,rf,101
0.122,0.927461139896373,0,attrib,OTU,AUC,int,0.8,rf,101
0.124,0.932642487046632,0,attrib,OTU,AUC,int,0.8,rf,101
0.126,0.9378238341968912,0,attrib,OTU,AUC,int,0.8,rf,101
0.128,0.9430051813471504,0,attrib,OTU,AUC,int,0.8,rf,101
0.138,0.9481865284974094,0,attrib,OTU,AUC,int,0.8,rf,101
0.14,0.9533678756476685,0,attrib,OTU,AUC,int,0.8,rf,101
0.142,0.9585492227979274,0,attrib,OTU,AUC,int,0.8,rf,101
0.15,0.9637305699481864,0,attrib,OTU,AUC,int,0.8,rf,101
0.152,0.9689119170984456,0,attrib,OTU,AUC,int,0.8,rf,101
