.threshold,recall,precision,outcome,taxlevel,metric,dataset,trainfrac,method,seed
0.3,0.8356164383561644,0.38125,idsa,OTU,AUC,full,0.8,rf,100
0.298,0.8356164383561644,0.37888198757763975,idsa,OTU,AUC,full,0.8,rf,100
0.296,0.8493150684931506,0.37575757575757573,idsa,OTU,AUC,full,0.8,rf,100
0.294,0.8493150684931506,0.369047619047619,idsa,OTU,AUC,full,0.8,rf,100
0.288,0.8493150684931506,0.3668639053254438,idsa,OTU,AUC,full,0.8,rf,100
0.284,0.863013698630137,0.37058823529411766,idsa,OTU,AUC,full,0.8,rf,100
0.282,0.8767123287671232,0.3720930232558139,idsa,OTU,AUC,full,0.8,rf,100
0.28,0.8904109589041096,0.3693181818181818,idsa,OTU,AUC,full,0.8,rf,100
0.278,0.8904109589041096,0.3672316384180791,idsa,OTU,AUC,full,0.8,rf,100
0.276,0.8904109589041096,0.3611111111111111,idsa,OTU,AUC,full,0.8,rf,100
0.274,0.8904109589041096,0.35911602209944754,idsa,OTU,AUC,full,0.8,rf,100
0.272,0.8904109589041096,0.3551912568306011,idsa,OTU,AUC,full,0.8,rf,100
0.266,0.9041095890410958,0.3567567567567568,idsa,OTU,AUC,full,0.8,rf,100
0.262,0.9041095890410958,0.35294117647058826,idsa,OTU,AUC,full,0.8,rf,100
0.26,0.9041095890410958,0.35106382978723405,idsa,OTU,AUC,full,0.8,rf,100
0.258,0.9041095890410958,0.3473684210526316,idsa,OTU,AUC,full,0.8,rf,100
0.256,0.9041095890410958,0.34375,idsa,OTU,AUC,full,0.8,rf,100
0.252,0.9041095890410958,0.3402061855670103,idsa,OTU,AUC,full,0.8,rf,100
0.25,0.9041095890410958,0.3384615384615385,idsa,OTU,AUC,full,0.8,rf,100
0.248,0.9178082191780822,0.34183673469387754,idsa,OTU,AUC,full,0.8,rf,100
0.246,0.9315068493150684,0.34517766497461927,idsa,OTU,AUC,full,0.8,rf,100
0.242,0.9452054794520548,0.3484848484848485,idsa,OTU,AUC,full,0.8,rf,100
0.238,0.9452054794520548,0.34673366834170855,idsa,OTU,AUC,full,0.8,rf,100
0.228,0.9452054794520548,0.345,idsa,OTU,AUC,full,0.8,rf,100
0.226,0.958904109589041,0.3482587064676617,idsa,OTU,AUC,full,0.8,rf,100
0.224,0.958904109589041,0.3465346534653465,idsa,OTU,AUC,full,0.8,rf,100
0.222,0.9726027397260274,0.3497536945812808,idsa,OTU,AUC,full,0.8,rf,100
0.22,0.9726027397260274,0.3463414634146341,idsa,OTU,AUC,full,0.8,rf,100
0.218,0.9726027397260274,0.3446601941747573,idsa,OTU,AUC,full,0.8,rf,100
0.216,0.9863013698630136,0.34782608695652173,idsa,OTU,AUC,full,0.8,rf,100
0.21,0.9863013698630136,0.34615384615384615,idsa,OTU,AUC,full,0.8,rf,100
0.202,0.9863013698630136,0.3444976076555024,idsa,OTU,AUC,full,0.8,rf,100
0.196,0.9863013698630136,0.34285714285714286,idsa,OTU,AUC,full,0.8,rf,100
0.192,1,0.3459715639810427,idsa,OTU,AUC,full,0.8,rf,100
0.182,1,0.3443396226415094,idsa,OTU,AUC,full,0.8,rf,100
0.148,1,0.3427230046948357,idsa,OTU,AUC,full,0.8,rf,100
0.136,1,0.3411214953271028,idsa,OTU,AUC,full,0.8,rf,100
Inf,0,1,idsa,OTU,AUC,full,0.8,rf,101
0.572,0,0,idsa,OTU,AUC,full,0.8,rf,101
0.552,0.0136986301369863,0.5,idsa,OTU,AUC,full,0.8,rf,101
0.55,0.0136986301369863,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.536,0.0136986301369863,0.25,idsa,OTU,AUC,full,0.8,rf,101
0.534,0.0273972602739726,0.4,idsa,OTU,AUC,full,0.8,rf,101
0.53,0.0273972602739726,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.526,0.0410958904109589,0.42857142857142855,idsa,OTU,AUC,full,0.8,rf,101
0.522,0.0410958904109589,0.375,idsa,OTU,AUC,full,0.8,rf,101
0.516,0.0410958904109589,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.496,0.0547945205479452,0.4,idsa,OTU,AUC,full,0.8,rf,101
0.488,0.0547945205479452,0.3636363636363637,idsa,OTU,AUC,full,0.8,rf,101
0.482,0.0547945205479452,0.3076923076923077,idsa,OTU,AUC,full,0.8,rf,101
0.478,0.0547945205479452,0.2857142857142857,idsa,OTU,AUC,full,0.8,rf,101
0.476,0.0684931506849315,0.3125,idsa,OTU,AUC,full,0.8,rf,101
0.474,0.0684931506849315,0.29411764705882354,idsa,OTU,AUC,full,0.8,rf,101
0.472,0.0821917808219178,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.468,0.0821917808219178,0.3157894736842105,idsa,OTU,AUC,full,0.8,rf,101
0.462,0.0958904109589041,0.35,idsa,OTU,AUC,full,0.8,rf,101
0.46,0.0958904109589041,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.456,0.1095890410958904,0.34782608695652173,idsa,OTU,AUC,full,0.8,rf,101
0.454,0.1095890410958904,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.452,0.1095890410958904,0.3076923076923077,idsa,OTU,AUC,full,0.8,rf,101
0.446,0.1095890410958904,0.2962962962962963,idsa,OTU,AUC,full,0.8,rf,101
0.442,0.136986301369863,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.438,0.136986301369863,0.3225806451612903,idsa,OTU,AUC,full,0.8,rf,101
0.436,0.1643835616438356,0.35294117647058826,idsa,OTU,AUC,full,0.8,rf,101
0.434,0.1643835616438356,0.34285714285714286,idsa,OTU,AUC,full,0.8,rf,101
0.432,0.1643835616438356,0.3157894736842105,idsa,OTU,AUC,full,0.8,rf,101
0.43,0.1780821917808219,0.325,idsa,OTU,AUC,full,0.8,rf,101
0.428,0.1917808219178082,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.426,0.2054794520547945,0.3488372093023256,idsa,OTU,AUC,full,0.8,rf,101
0.424,0.2054794520547945,0.3409090909090909,idsa,OTU,AUC,full,0.8,rf,101
0.418,0.2054794520547945,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.416,0.2054794520547945,0.32608695652173914,idsa,OTU,AUC,full,0.8,rf,101
0.414,0.2054794520547945,0.30612244897959184,idsa,OTU,AUC,full,0.8,rf,101
0.412,0.2328767123287671,0.32075471698113206,idsa,OTU,AUC,full,0.8,rf,101
0.41,0.2602739726027397,0.34545454545454546,idsa,OTU,AUC,full,0.8,rf,101
0.408,0.273972602739726,0.3508771929824561,idsa,OTU,AUC,full,0.8,rf,101
0.406,0.2876712328767123,0.35,idsa,OTU,AUC,full,0.8,rf,101
0.404,0.3013698630136986,0.3606557377049181,idsa,OTU,AUC,full,0.8,rf,101
0.402,0.3013698630136986,0.3548387096774194,idsa,OTU,AUC,full,0.8,rf,101
0.4,0.3150684931506849,0.35384615384615387,idsa,OTU,AUC,full,0.8,rf,101
0.396,0.3150684931506849,0.3484848484848485,idsa,OTU,AUC,full,0.8,rf,101
0.392,0.3561643835616438,0.3661971830985915,idsa,OTU,AUC,full,0.8,rf,101
0.388,0.3698630136986301,0.375,idsa,OTU,AUC,full,0.8,rf,101
0.386,0.3698630136986301,0.36486486486486486,idsa,OTU,AUC,full,0.8,rf,101
0.384,0.3972602739726027,0.3815789473684211,idsa,OTU,AUC,full,0.8,rf,101
0.382,0.3972602739726027,0.37662337662337664,idsa,OTU,AUC,full,0.8,rf,101
0.378,0.3972602739726027,0.3670886075949367,idsa,OTU,AUC,full,0.8,rf,101
0.376,0.410958904109589,0.375,idsa,OTU,AUC,full,0.8,rf,101
0.372,0.410958904109589,0.36585365853658536,idsa,OTU,AUC,full,0.8,rf,101
0.37,0.4520547945205479,0.3793103448275862,idsa,OTU,AUC,full,0.8,rf,101
0.368,0.4520547945205479,0.375,idsa,OTU,AUC,full,0.8,rf,101
0.366,0.4657534246575342,0.37777777777777777,idsa,OTU,AUC,full,0.8,rf,101
0.364,0.4794520547945205,0.3763440860215054,idsa,OTU,AUC,full,0.8,rf,101
0.362,0.4794520547945205,0.3723404255319149,idsa,OTU,AUC,full,0.8,rf,101
0.36,0.4794520547945205,0.3684210526315789,idsa,OTU,AUC,full,0.8,rf,101
0.358,0.4794520547945205,0.3645833333333333,idsa,OTU,AUC,full,0.8,rf,101
0.356,0.4931506849315068,0.3673469387755102,idsa,OTU,AUC,full,0.8,rf,101
0.352,0.4931506849315068,0.3564356435643564,idsa,OTU,AUC,full,0.8,rf,101
0.348,0.5068493150684932,0.3557692307692308,idsa,OTU,AUC,full,0.8,rf,101
0.346,0.5205479452054794,0.3584905660377358,idsa,OTU,AUC,full,0.8,rf,101
0.344,0.5205479452054794,0.35514018691588783,idsa,OTU,AUC,full,0.8,rf,101
0.342,0.5342465753424658,0.3611111111111111,idsa,OTU,AUC,full,0.8,rf,101
0.34,0.5342465753424658,0.3482142857142857,idsa,OTU,AUC,full,0.8,rf,101
0.338,0.5616438356164384,0.3565217391304348,idsa,OTU,AUC,full,0.8,rf,101
0.336,0.5616438356164384,0.35344827586206895,idsa,OTU,AUC,full,0.8,rf,101
0.334,0.5753424657534246,0.3559322033898305,idsa,OTU,AUC,full,0.8,rf,101
0.332,0.5753424657534246,0.35294117647058826,idsa,OTU,AUC,full,0.8,rf,101
0.33,0.6027397260273972,0.3606557377049181,idsa,OTU,AUC,full,0.8,rf,101
0.328,0.6164383561643836,0.3629032258064516,idsa,OTU,AUC,full,0.8,rf,101
0.326,0.6164383561643836,0.36,idsa,OTU,AUC,full,0.8,rf,101
0.324,0.6164383561643836,0.3543307086614173,idsa,OTU,AUC,full,0.8,rf,101
0.32,0.6164383561643836,0.3488372093023256,idsa,OTU,AUC,full,0.8,rf,101
0.318,0.6164383561643836,0.3435114503816794,idsa,OTU,AUC,full,0.8,rf,101
0.316,0.6164383561643836,0.3383458646616541,idsa,OTU,AUC,full,0.8,rf,101
0.314,0.6301369863013698,0.34328358208955223,idsa,OTU,AUC,full,0.8,rf,101
0.312,0.6438356164383562,0.34558823529411764,idsa,OTU,AUC,full,0.8,rf,101
0.31,0.6438356164383562,0.34306569343065696,idsa,OTU,AUC,full,0.8,rf,101
0.308,0.6575342465753424,0.34285714285714286,idsa,OTU,AUC,full,0.8,rf,101
0.306,0.684931506849315,0.352112676056338,idsa,OTU,AUC,full,0.8,rf,101
0.302,0.6986301369863014,0.35172413793103446,idsa,OTU,AUC,full,0.8,rf,101
0.3,0.7123287671232876,0.35374149659863946,idsa,OTU,AUC,full,0.8,rf,101
0.298,0.726027397260274,0.3581081081081081,idsa,OTU,AUC,full,0.8,rf,101
0.296,0.726027397260274,0.35570469798657717,idsa,OTU,AUC,full,0.8,rf,101
0.294,0.726027397260274,0.35333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.292,0.726027397260274,0.3509933774834437,idsa,OTU,AUC,full,0.8,rf,101
0.288,0.726027397260274,0.3464052287581699,idsa,OTU,AUC,full,0.8,rf,101
0.282,0.726027397260274,0.34415584415584416,idsa,OTU,AUC,full,0.8,rf,101
0.28,0.7397260273972602,0.34394904458598724,idsa,OTU,AUC,full,0.8,rf,101
0.278,0.7397260273972602,0.3375,idsa,OTU,AUC,full,0.8,rf,101
0.276,0.7397260273972602,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.274,0.7534246575342466,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,101
0.272,0.7671232876712328,0.33532934131736525,idsa,OTU,AUC,full,0.8,rf,101
0.27,0.7808219178082192,0.3392857142857143,idsa,OTU,AUC,full,0.8,rf,101
0.268,0.7808219178082192,0.33727810650887574,idsa,OTU,AUC,full,0.8,rf,101
0.262,0.8082191780821918,0.34502923976608185,idsa,OTU,AUC,full,0.8,rf,101
0.26,0.821917808219178,0.3468208092485549,idsa,OTU,AUC,full,0.8,rf,101
0.256,0.821917808219178,0.3448275862068966,idsa,OTU,AUC,full,0.8,rf,101
0.254,0.821917808219178,0.3409090909090909,idsa,OTU,AUC,full,0.8,rf,101
0.252,0.8356164383561644,0.34269662921348315,idsa,OTU,AUC,full,0.8,rf,101
0.25,0.8356164383561644,0.3388888888888889,idsa,OTU,AUC,full,0.8,rf,101
0.248,0.8493150684931506,0.34065934065934067,idsa,OTU,AUC,full,0.8,rf,101
0.246,0.8493150684931506,0.33879781420765026,idsa,OTU,AUC,full,0.8,rf,101
0.244,0.863013698630137,0.3423913043478261,idsa,OTU,AUC,full,0.8,rf,101
0.24,0.8767123287671232,0.34408602150537637,idsa,OTU,AUC,full,0.8,rf,101
0.236,0.8904109589041096,0.34759358288770054,idsa,OTU,AUC,full,0.8,rf,101
0.234,0.9041095890410958,0.35106382978723405,idsa,OTU,AUC,full,0.8,rf,101
0.228,0.9178082191780822,0.3526315789473684,idsa,OTU,AUC,full,0.8,rf,101
0.224,0.9178082191780822,0.3507853403141361,idsa,OTU,AUC,full,0.8,rf,101
0.22,0.9178082191780822,0.3489583333333333,idsa,OTU,AUC,full,0.8,rf,101
0.218,0.9178082191780822,0.3435897435897436,idsa,OTU,AUC,full,0.8,rf,101
0.214,0.9178082191780822,0.34183673469387754,idsa,OTU,AUC,full,0.8,rf,101
0.208,0.9178082191780822,0.3401015228426396,idsa,OTU,AUC,full,0.8,rf,101
0.206,0.9315068493150684,0.3417085427135678,idsa,OTU,AUC,full,0.8,rf,101
0.202,0.9315068493150684,0.33663366336633666,idsa,OTU,AUC,full,0.8,rf,101
0.2,0.9452054794520548,0.3399014778325123,idsa,OTU,AUC,full,0.8,rf,101
0.194,0.9452054794520548,0.33658536585365856,idsa,OTU,AUC,full,0.8,rf,101
0.192,0.958904109589041,0.33816425120772947,idsa,OTU,AUC,full,0.8,rf,101
0.19,0.958904109589041,0.33653846153846156,idsa,OTU,AUC,full,0.8,rf,101
0.188,0.9863013698630136,0.34285714285714286,idsa,OTU,AUC,full,0.8,rf,101
0.184,0.9863013698630136,0.3412322274881517,idsa,OTU,AUC,full,0.8,rf,101
0.18,0.9863013698630136,0.33962264150943394,idsa,OTU,AUC,full,0.8,rf,101
0.176,1,0.3411214953271028,idsa,OTU,AUC,full,0.8,rf,101
Inf,0,1,idsa,OTU,AUC,full,0.8,rf,102
0.532,0.0136986301369863,1,idsa,OTU,AUC,full,0.8,rf,102
0.526,0.0136986301369863,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.524,0.0136986301369863,0.3333333333333333,idsa,OTU,AUC,full,0.8,rf,102
0.514,0.0273972602739726,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.512,0.0410958904109589,0.6,idsa,OTU,AUC,full,0.8,rf,102
0.502,0.0410958904109589,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.494,0.0410958904109589,0.42857142857142855,idsa,OTU,AUC,full,0.8,rf,102
0.492,0.0547945205479452,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.48,0.0684931506849315,0.5555555555555556,idsa,OTU,AUC,full,0.8,rf,102
0.476,0.0821917808219178,0.6,idsa,OTU,AUC,full,0.8,rf,102
0.474,0.0821917808219178,0.42857142857142855,idsa,OTU,AUC,full,0.8,rf,102
0.472,0.1095890410958904,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.466,0.1232876712328767,0.5294117647058824,idsa,OTU,AUC,full,0.8,rf,102
0.462,0.136986301369863,0.5263157894736842,idsa,OTU,AUC,full,0.8,rf,102
0.456,0.1506849315068493,0.55,idsa,OTU,AUC,full,0.8,rf,102
0.454,0.1643835616438356,0.5714285714285714,idsa,OTU,AUC,full,0.8,rf,102
0.452,0.1643835616438356,0.5454545454545454,idsa,OTU,AUC,full,0.8,rf,102
0.45,0.1780821917808219,0.5652173913043478,idsa,OTU,AUC,full,0.8,rf,102
0.444,0.1917808219178082,0.5833333333333334,idsa,OTU,AUC,full,0.8,rf,102
0.44,0.1917808219178082,0.56,idsa,OTU,AUC,full,0.8,rf,102
0.438,0.1917808219178082,0.5384615384615384,idsa,OTU,AUC,full,0.8,rf,102
0.436,0.2054794520547945,0.5357142857142857,idsa,OTU,AUC,full,0.8,rf,102
0.428,0.2191780821917808,0.5161290322580645,idsa,OTU,AUC,full,0.8,rf,102
0.426,0.2328767123287671,0.5151515151515151,idsa,OTU,AUC,full,0.8,rf,102
0.424,0.2465753424657534,0.5294117647058824,idsa,OTU,AUC,full,0.8,rf,102
0.422,0.2465753424657534,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.42,0.2602739726027397,0.4871794871794872,idsa,OTU,AUC,full,0.8,rf,102
0.418,0.273972602739726,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.412,0.2876712328767123,0.5121951219512195,idsa,OTU,AUC,full,0.8,rf,102
0.41,0.3013698630136986,0.5116279069767442,idsa,OTU,AUC,full,0.8,rf,102
0.408,0.3013698630136986,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.406,0.3013698630136986,0.4782608695652174,idsa,OTU,AUC,full,0.8,rf,102
0.404,0.3287671232876712,0.5,idsa,OTU,AUC,full,0.8,rf,102
0.402,0.3561643835616438,0.49056603773584906,idsa,OTU,AUC,full,0.8,rf,102
0.4,0.3561643835616438,0.4727272727272727,idsa,OTU,AUC,full,0.8,rf,102
0.398,0.3561643835616438,0.45614035087719296,idsa,OTU,AUC,full,0.8,rf,102
0.394,0.3835616438356164,0.45901639344262296,idsa,OTU,AUC,full,0.8,rf,102
0.392,0.3972602739726027,0.46774193548387094,idsa,OTU,AUC,full,0.8,rf,102
0.39,0.410958904109589,0.47619047619047616,idsa,OTU,AUC,full,0.8,rf,102
0.388,0.410958904109589,0.4615384615384616,idsa,OTU,AUC,full,0.8,rf,102
0.386,0.410958904109589,0.4411764705882353,idsa,OTU,AUC,full,0.8,rf,102
0.384,0.410958904109589,0.43478260869565216,idsa,OTU,AUC,full,0.8,rf,102
0.382,0.4246575342465753,0.4305555555555556,idsa,OTU,AUC,full,0.8,rf,102
0.38,0.4383561643835616,0.4266666666666667,idsa,OTU,AUC,full,0.8,rf,102
0.378,0.4520547945205479,0.42857142857142855,idsa,OTU,AUC,full,0.8,rf,102
0.376,0.4520547945205479,0.4230769230769231,idsa,OTU,AUC,full,0.8,rf,102
0.372,0.4657534246575342,0.43037974683544306,idsa,OTU,AUC,full,0.8,rf,102
0.37,0.4931506849315068,0.4444444444444444,idsa,OTU,AUC,full,0.8,rf,102
0.368,0.5205479452054794,0.4578313253012048,idsa,OTU,AUC,full,0.8,rf,102
0.366,0.5342465753424658,0.4534883720930232,idsa,OTU,AUC,full,0.8,rf,102
0.364,0.547945205479452,0.449438202247191,idsa,OTU,AUC,full,0.8,rf,102
0.362,0.547945205479452,0.4395604395604395,idsa,OTU,AUC,full,0.8,rf,102
0.36,0.5616438356164384,0.43617021276595747,idsa,OTU,AUC,full,0.8,rf,102
0.356,0.5753424657534246,0.4375,idsa,OTU,AUC,full,0.8,rf,102
0.354,0.6164383561643836,0.4455445544554455,idsa,OTU,AUC,full,0.8,rf,102
0.35,0.6301369863013698,0.4423076923076923,idsa,OTU,AUC,full,0.8,rf,102
0.348,0.6438356164383562,0.4476190476190477,idsa,OTU,AUC,full,0.8,rf,102
0.346,0.6438356164383562,0.4433962264150943,idsa,OTU,AUC,full,0.8,rf,102
0.344,0.6575342465753424,0.4444444444444444,idsa,OTU,AUC,full,0.8,rf,102
0.342,0.6712328767123288,0.44545454545454544,idsa,OTU,AUC,full,0.8,rf,102
0.34,0.684931506849315,0.43478260869565216,idsa,OTU,AUC,full,0.8,rf,102
0.338,0.684931506849315,0.43103448275862066,idsa,OTU,AUC,full,0.8,rf,102
0.332,0.684931506849315,0.423728813559322,idsa,OTU,AUC,full,0.8,rf,102
0.33,0.6986301369863014,0.4180327868852459,idsa,OTU,AUC,full,0.8,rf,102
0.328,0.7123287671232876,0.416,idsa,OTU,AUC,full,0.8,rf,102
0.326,0.726027397260274,0.4140625,idsa,OTU,AUC,full,0.8,rf,102
0.324,0.726027397260274,0.39849624060150374,idsa,OTU,AUC,full,0.8,rf,102
0.322,0.726027397260274,0.3925925925925926,idsa,OTU,AUC,full,0.8,rf,102
0.32,0.726027397260274,0.3897058823529412,idsa,OTU,AUC,full,0.8,rf,102
0.318,0.7397260273972602,0.391304347826087,idsa,OTU,AUC,full,0.8,rf,102
0.316,0.7534246575342466,0.3900709219858156,idsa,OTU,AUC,full,0.8,rf,102
0.314,0.7534246575342466,0.38461538461538464,idsa,OTU,AUC,full,0.8,rf,102
0.312,0.7534246575342466,0.3793103448275862,idsa,OTU,AUC,full,0.8,rf,102
0.31,0.7534246575342466,0.3741496598639456,idsa,OTU,AUC,full,0.8,rf,102
0.308,0.7671232876712328,0.37333333333333335,idsa,OTU,AUC,full,0.8,rf,102
0.306,0.7671232876712328,0.3636363636363637,idsa,OTU,AUC,full,0.8,rf,102
0.304,0.7671232876712328,0.35668789808917195,idsa,OTU,AUC,full,0.8,rf,102
0.302,0.7671232876712328,0.35443037974683544,idsa,OTU,AUC,full,0.8,rf,102
0.3,0.7671232876712328,0.35,idsa,OTU,AUC,full,0.8,rf,102
0.298,0.7945205479452054,0.3558282208588957,idsa,OTU,AUC,full,0.8,rf,102
0.296,0.7945205479452054,0.35365853658536583,idsa,OTU,AUC,full,0.8,rf,102
0.294,0.8082191780821918,0.3532934131736527,idsa,OTU,AUC,full,0.8,rf,102
0.292,0.821917808219178,0.35714285714285715,idsa,OTU,AUC,full,0.8,rf,102
0.29,0.8356164383561644,0.3588235294117647,idsa,OTU,AUC,full,0.8,rf,102
0.288,0.8356164383561644,0.3546511627906977,idsa,OTU,AUC,full,0.8,rf,102
